customer_name,total_ordenes,gasto_total,ganancia_total,unidades_compradas
Aaron Bergman,89,13824.832,4683.208,301
Aaron Hawkins,56,9182.588,2450.92904,231
Aaron Smayling,60,9679.532,369.1618,211
Adam Bellavance,68,7481.72,4979.9769,262
Adam Hart,84,14644.083,1902.03342,293
Adam Shillingsburg,71,9119.332,1421.27412,238
Adrian Barton,77,11371.767,6417.2845,265
Adrian Hane,54,9175.233,2081.37928,207
Adrian Shami,44,7197.094,1564.4938,144
Aimee Bixby,55,5848.367,2926.3543,208
Alan Barnes,60,9255.801,2436.066,232
Alan Dominguez,55,9019.528,1539.9922000000001,167
Alan Haines,77,10558.727,-592.24612,258
Alan Hwang,74,13391.26,4342.37078,292
Alan Schoenberger,73,10319.529,2503.6348,231
Alan Shonely,63,9226.467,1175.45416,246
Alejandro Ballentine,68,10480.987000000001,758.6139,207
Alejandro Grove,67,9105.318,2602.57212,255
Alejandro Savely,77,11095.039,2533.56606,273
Aleksandra Gannaway,58,11155.563,773.1465999999999,206
Alex Avila,50,9356.643,983.2565,165
Alex Grayson,77,10463.612,1006.97208,250
Alex Russell,64,11896.577,2290.6598,209
Alice McCarthy,77,10776.996,2977.8523999999998,284
Allen Armold,55,5416.122,754.9193999999999,169
Allen Goldenen,53,7396.533,447.265,178
Allen Rosenblatt,50,8042.488,-552.28182,168
Alyssa Crouse,61,6385.916,444.03550000000007,180
Alyssa Tate,65,5786.168,2795.5313,185
Amy Cox,39,5906.26,3980.4112,143
Amy Hunt,39,4963.243,718.3349800000001,143
Andrew Allen,48,5698.074,2071.08818,175
Andrew Gjertsen,78,10823.563,2642.21386,302
Andrew Roberts,70,9981.939,3561.75886,235
Andy Gerbode,44,6276.068,169.3896999999999,139
Andy Reiter,35,3106.444,3139.0833,89
Andy Yotov,50,6651.892,2290.97634,163
Anemone Ratner,50,8404.091,1994.65032,178
Angele Hood,49,7155.206,1610.0721,170
Ann Blume,64,9014.722,1870.0106999999998,238
Ann Chong,83,12730.299,880.12778,264
Ann Steele,55,5384.44,2091.0534,164
Anna Andreadi,91,13082.234,2443.093,302
Anna Chung,43,7696.237,-272.12732000000005,152
Anna Gayman,77,11791.604,923.0617000000001,249
Anna Häberlin,76,12190.908,2466.01172,280
Anne McFarland,79,11745.79,3238.5851,303
Anne Pryor,63,9146.221,2992.7651,244
Annie Thurman,55,7530.86,2659.7779,186
Annie Zypern,68,8410.464,924.3602999999999,215
Anthony Garverick,58,8557.133,175.3065,227
Anthony Jacobs,79,9979.785,1172.2402000000002,232
Anthony Johnson,77,10033.253,2478.5824000000002,259
Anthony O'Donnell,60,10814.215,1093.0996000000002,228
Anthony Rawles,72,9784.562,3117.6468,248
Anthony Witt,78,9544.604,1216.4120200000002,244
Arianne Irving,50,6373.91,1538.1774,176
Art Ferguson,98,14173.024,2278.3037,326
Art Foster,76,11602.47,2971.2347800000002,283
Arthur Gainer,75,11045.834,1733.2471600000001,284
Arthur Prichep,87,14367.183,3137.6156,284
Arthur Wiediger,49,4046.976,2680.9669599999997,175
Ashley Jarboe,56,8670.286,3006.7032,195
Astrea Jones,60,10716.545,2531.3579799999998,206
Barbara Fisher,62,6944.896,1833.7316,193
Barry Blumstein,62,8719.165,299.4246,211
Barry Franz,69,13447.645,1115.67056,228
Barry Französisch,62,8152.059,940.1213,191
Barry Gonzalez,67,11028.004,1530.1779999999999,250
Barry Pond,57,10389.0,2090.96176,176
Barry Weirich,51,10024.423,3695.4033000000004,216
Bart Folk,55,9711.235,2084.5089000000003,208
Bart Pistole,70,10087.0,984.2587,243
Bart Watters,96,15309.023,3595.8858999999998,338
Becky Castell,87,13270.917,2485.9604,300
Becky Martin,78,12499.688,-1096.9254,293
Becky Pak,58,8270.547,3576.20716,221
Ben Ferrer,86,16667.558,4135.10114,316
Ben Peterman,74,9109.707,1343.95582,246
Ben Wallace,68,14965.0,2352.20638,219
Benjamin Farhat,62,8886.488,641.3188,228
Benjamin Patterson,67,10735.986,912.2121000000001,207
Benjamin Venier,61,9023.355,2819.7504,200
Berenike Kampe,64,8555.036,2447.6789599999997,221
Beth Fritzler,58,9531.058,661.45284,196
Beth Paige,55,7391.441,1958.09908,186
Beth Thompson,70,9113.52,863.9258,234
Bill Donatelli,69,8715.567,1622.6797,232
Bill Eplett,102,14134.36,7410.0053,411
Bill Overfelt,47,5361.734,415.21970000000005,158
Bill Shonely,68,12019.503,5968.90736,254
Bill Stewart,66,12574.208,1815.0301,266
Bill Tyler,50,4902.902,2544.9303,183
Bobby Elias,60,10753.665,3789.15606,225
Bobby Odegard,57,7659.377,2556.82472,213
Bobby Trafton,53,6430.973,-469.7911000000001,172
Brad Eason,69,12320.672,978.0241,243
Brad Norvell,70,13700.512,2124.05298,243
Brad Thomas,65,8633.053,939.62794,233
Bradley Drucker,44,7907.24,2381.066,181
Bradley Nguyen,65,8974.907,2544.06892,244
Bradley Talbott,55,8620.729,1453.6353,188
Brenda Bowman,63,6747.269,1738.84688,238
Brendan Dodson,36,6168.756,2024.7037400000002,148
Brendan Murry,55,6519.541,282.13467999999995,157
Brendan Sweed,58,8460.722,2045.68872,207
Brian Dahlen,48,6909.983,1425.66744,160
Brian DeCherney,67,9660.113,984.42392,207
Brian Derr,68,10179.744,2792.3093000000003,242
Brian Moss,78,13102.361,4385.84518,248
Brian Stugart,71,10119.466,3612.8758,278
Brian Thompson,58,10654.246,1795.5495,218
Brooke Gillingham,49,6654.563,417.31988,153
Brosina Hoffman,97,13835.298999999999,4876.9398,355
Bruce Degenhardt,76,14083.877,2475.1561,256
Bruce Geld,56,7619.769,1426.6284000000003,198
Bruce Stewart,83,14175.064,496.95910000000015,252
Bryan Davis,64,8392.184,1528.27026,228
Bryan Mills,84,13825.87,2512.6168,278
Bryan Spruell,69,9987.273,2783.2074000000002,214
Candace McMahon,46,7210.595,-2798.7906,172
Cari MacIntyre,77,13885.73,2484.686,266
Cari Sayre,68,7653.428,2915.3282,208
Cari Schnelling,60,7883.3,1319.8943199999999,162
Carl Jackson,56,8395.582,1957.42696,168
Carl Ludwig,60,6988.2029999999995,-164.26294000000013,215
Carl Weiss,55,9100.262,3007.3994,218
Carlos Daly,70,9774.353,5028.9094,240
Carlos Meador,42,6897.254,2206.362,150
Carlos Soltero,68,11733.206,-1000.07596,221
Carol Adams,57,7649.36,3279.0813,200
Carol Darley,68,10378.856,1880.35726,218
Carol Triggs,52,8833.311,2437.80334,173
Caroline Jumper,58,9199.393,2417.592,222
Cassandra Brandow,59,10059.473,208.82850000000005,227
Catherine Glotzbach,35,4116.0,-246.83939999999998,120
Cathy Armstrong,56,10202.093,1869.7699,207
Cathy Hwang,70,10662.01,2671.50966,225
Cathy Prescott,65,9536.244,1750.5737,253
Chad Cunningham,58,10382.142,2622.6274399999998,216
Chad McGuire,43,8878.695,2442.3472,160
Chad Sievert,48,9706.644,-4.067100000000101,185
Charles Crestani,59,9129.225,1307.7991,180
Charles McCrossin,55,8849.318,746.68682,176
Charles Sheldon,62,10224.835,4328.5768,246
Charlotte Melton,55,9875.954,117.79151999999998,212
Chloris Kastensmidt,96,10734.841,965.81294,327
Chris Cortes,87,10367.117,2505.8885999999998,268
Chris McAfee,44,5850.776,1887.6977,139
Chris Selesnick,81,14418.0,2602.5059,304
Christina Anderson,69,12589.255000000001,3662.118,247
Christina DeMoss,82,10367.626,2591.7817800000003,265
Christina VanderZanden,60,6961.369,605.33728,185
Christine Abelman,43,6179.625,867.15866,113
Christine Kargatis,67,9085.973,1380.71322,245
Christine Phan,82,15654.512,1748.2813800000001,278
Christine Sundaresam,66,9434.113,-1.151800000000037,188
Christopher Conant,73,9695.517,5603.3337,287
Christopher Martinez,56,9466.007,3010.03432,198
Christopher Schild,53,11297.22,2080.04256,197
Christy Brittain,49,9957.984,2087.0836600000002,194
Chuck Clark,60,12643.399,2940.51086,229
Chuck Magee,58,8102.618,1476.65568,224
Chuck Sachs,70,13837.93,2943.10958,236
Cindy Chapman,74,11703.172,4034.85446,246
Cindy Schnelling,62,8648.131,188.87189999999993,197
Cindy Stewart,42,7223.215,-6151.558099999999,153
Claire Gute,52,11095.57,2566.57842,184
Claudia Bergmann,72,10870.398,2167.21744,241
Clay Cheatham,60,8318.028,1524.5489400000001,191
Clay Ludtke,79,11891.9,1323.4289800000001,284
Clay Rozendal,41,3405.362,1945.9958,164
Clytie Kelty,79,13347.797,2373.63598,289
Corey Catlett,61,9309.303,3003.011,212
Corey Roper,77,11347.018,2345.12208,262
Corey-Lock,68,13049.0,1196.03996,238
Corinna Mitchell,54,6241.348,-955.0624199999999,174
Craig Carreira,67,9109.39,-280.98170000000005,210
Craig Carroll,55,10415.406,2249.8603000000003,210
Craig Leslie,69,10090.297,2670.3287,248
Craig Molinari,54,8324.908,1210.3413,179
Craig Reiter,77,11647.21,1435.4373600000001,224
Craig Yedwab,60,11856.366,1542.243,200
Cyma Kinney,69,10596.0,525.3842999999999,211
Cynthia Arntzen,61,8134.711,3891.2644999999998,213
Cynthia Delaney,68,10432.072,2154.3026999999997,228
Cynthia Voltz,54,8923.939,1910.1065,181
Cyra Reiten,54,8965.698,3312.72046,188
Damala Kotsonis,86,12693.276,2917.8505,274
Dan Campbell,77,10069.373,-70.48979999999997,231
Dan Lawera,68,9817.875,426.03500000000014,270
