customer_name,recencia,frecuencia_compra,productos_distintos,unidades_totales,gasto_total,ticket_promedio
Aaron Bergman,11,89,88,301,13824.832,155.33519101123596
Aaron Hawkins,195,56,56,231,9182.588,163.9747857142857
Aaron Smayling,8,60,59,211,9679.532,161.3255333333333
Adam Bellavance,7,68,67,262,7481.72,110.02529411764706
Adam Hart,131,84,83,293,14644.083,174.33432142857143
Adam Shillingsburg,62,71,70,238,9119.332,128.4412957746479
Adrian Barton,190,77,77,265,11371.767,147.68528571428573
Adrian Hane,62,54,54,207,9175.233,169.91172222222224
Adrian Shami,69,44,44,144,7197.094,163.57031818181818
Aimee Bixby,4,55,55,208,5848.367,106.33394545454546
Alan Barnes,126,60,60,232,9255.801,154.26335
Alan Dominguez,8,55,54,167,9019.528,163.99141818181818
Alan Haines,2,77,76,258,10558.727,137.1263246753247
Alan Hwang,4,74,74,292,13391.26,180.96297297297298
Alan Schoenberger,1,73,72,231,10319.529,141.36341095890413
Alan Shonely,62,63,63,246,9226.467,146.45185714285716
Alejandro Ballentine,40,68,68,207,10480.987000000001,154.1321617647059
Alejandro Grove,65,67,67,255,9105.318,135.9002686567164
Alejandro Savely,1,77,77,273,11095.039,144.09141558441559
Aleksandra Gannaway,127,58,58,206,11155.563,192.33729310344827
Alex Avila,165,50,50,165,9356.643,187.13286
Alex Grayson,6,77,77,250,10463.612,135.89106493506492
Alex Russell,5,64,64,209,11896.577,185.884015625
Alice McCarthy,7,77,77,284,10776.996,139.960987012987
Allen Armold,1,55,55,169,5416.122,98.47494545454546
Allen Goldenen,65,53,53,178,7396.533,139.55722641509433
Allen Rosenblatt,34,50,50,168,8042.488,160.84976
Alyssa Crouse,62,61,61,180,6385.916,104.6871475409836
Alyssa Tate,41,65,65,185,5786.168,89.01796923076922
Amy Cox,98,39,39,143,5906.26,151.44256410256412
Amy Hunt,158,39,39,143,4963.243,127.26264102564103
Andrew Allen,99,48,48,175,5698.074,118.709875
Andrew Gjertsen,4,78,78,302,10823.563,138.7636282051282
Andrew Roberts,9,70,69,235,9981.939,142.59912857142857
Andy Gerbode,72,44,44,139,6276.068,142.6379090909091
Andy Reiter,195,35,34,89,3106.444,88.75554285714286
Andy Yotov,247,50,50,163,6651.892,133.03784
Anemone Ratner,10,50,50,178,8404.091,168.08182
Angele Hood,62,49,49,170,7155.206,146.02461224489795
Ann Blume,32,64,63,238,9014.722,140.85503125
Ann Chong,127,83,83,264,12730.299,153.3770963855422
Ann Steele,342,55,53,164,5384.44,97.89890909090909
Anna Andreadi,8,91,91,302,13082.234,143.76081318681318
Anna Chung,1,43,43,152,7696.237,178.9822558139535
Anna Gayman,36,77,76,249,11791.604,153.13771428571428
Anna Häberlin,72,76,76,280,12190.908,160.40668421052632
Anne McFarland,11,79,78,303,11745.79,148.6808860759494
Anne Pryor,156,63,63,244,9146.221,145.1781111111111
Annie Thurman,128,55,55,186,7530.86,136.92472727272727
